Ticker Symbol,Company,Sector
MRE.TO,Martinrea International Inc.,Consumer Discretionary
MEG.TO,MEG Energy Corp.,Energy
MX.TO,Methanex Corporation,Materials
MRU.TO,Metro Inc.,Consumer Staples
MST-UN.TO,Milestone Apartments Real Estate Investment Trust,Financials
MNW.TO,Mitel Networks Corporation,Information Technology
MTL.TO,Mullen Group Ltd.,Energy
NA.TO,National Bank of Canada,Financials
NSU.TO,Nevsun Resources Ltd.,Materials
NFI.TO,New Flyer Industries Inc.,Industrials
NGD.TO,New Gold Inc.,Materials
OSB.TO,Norbord Inc.,Materials
NPI.TO,Northland Power Inc.,Utilities
NVU-UN.TO,Northview Apartment Real Estate Investment Trust,Financials
NG.TO,NovaGold Resources Inc.,Materials
NVA.TO,NuVista Energy Ltd.,Energy
OGC.TO,OceanaGold Corporation,Materials
OCX.TO,Onex Corporation,Financials
OTC.TO,Open Text Corporation,Information Technology
OR.TO,Osisko Gold Royalties Ltd,Materials
PAA.TO,Pan American Silver Corp.,Materials
PXT.TO,Parex Resources Inc.,Energy
PKI.TO,Parkland Fuel Corporation,Energy
PSI.TO,Pason Systems Inc.,Energy
PPL.TO,Pembina Pipeline Corporation,Energy
PWT.TO,Penn West Petroleum Ltd.,Energy
PSG.TO,Performance Sports Group Ltd.,Consumer Discretionary
PEY.TO,Peyto Exploration & Development Corp.,Energy
POT.TO,Potash Corporation of Saskatchewan Inc.,Materials
POW.TO,Power Corporation of Canada,Financials
PWF.TO,Power Financial Corporation,Financials
PSK.TO,PrairieSky Royalty Ltd.,Energy
PD.TO,Precision Drilling Corporation,Energy
PBH.TO,Premium Brands Holdings Corporation,Consumer Staples
PVG.TO,Pretium Resources Inc.,Materials
BIN.TO,Progressive Waste Solutions Ltd.,Industrials
PLI.TO,ProMetic Life Sciences Inc.,Health Care
AAR-UN.TO,Pure Industrial Real Estate Trust,Financials
QBR-B.TO,Quebecor Inc.,Consumer Discretionary
RRX.TO,Raging River Exploration Inc.,Energy
QSR.TO,Restaurant Brands International Inc.,Consumer Discretionary
REI-UN.TO,RioCan Real Estate Investment Trust,Financials
RBA.TO,Ritchie Bros. Auctioneers Incorporated,Industrials
RCI-B.TO,Rogers Communications Inc.,Telecommunication Services
RON.TO,Rona Inc.,Consumer Discretionary
RY.TO,Royal Bank of Canada,Financials
RUS.TO,Russel Metals Inc.,Industrials
SAP.TO,Saputo Inc.,Consumer Staples
SES.TO,Secure Energy Services Inc.,Energy
SMF.TO,Semafo Inc.,Materials
VII.TO,Seven Generations Energy Ltd.,Energy
SJR-B.TO,Shaw Communications Inc.,Telecommunication Services
SCL.TO,ShawCor Ltd.,Energy
SW.TO,Sierra Wireless Inc.,Information Technology
SSO.TO,Silver Standard Resources Inc.,Materials
SLW.TO,Silver Wheaton Corp.,Materials
SRU-UN.TO,Smart Real Estate Investment Trust,Financials
SNC.TO,SNC-Lavalin Group Inc.,Industrials
STN.TO,Stantec Inc.,Industrials
SJ.TO,Stella-Jones Inc.,Materials
SLF.TO,Sun Life Financial Inc.,Financials
SU.TO,Suncor Energy Inc.,Energy
SPB.TO,Superior Plus Corp.,Industrials
SGY.TO,Surge Energy Inc.,Energy
THO.TO,Tahoe Resources Inc.,Materials
TCK-B.TO,Teck Resources Limited,Materials
T.TO,Telus Corporation,Telecommunication Services
IT.TO,The Intertain Group Limited,Consumer Discretionary
NWC.TO,The North West Company Inc.,Consumer Staples
TRI.TO,Thomson Reuters Corporation,Consumer Discretionary
X.TO,TMX Group Limited,Financials
TOG.TO,TORC Oil & Gas Ltd.,Energy
TXG.TO,Torex Gold Resources Inc.,Materials
TIH.TO,Toromont Industries Ltd.,Industrials
TD.TO,Toronto-Dominion Bank,Financials
TOU.TO,Tourmaline Oil Corp.,Energy
TA.TO,TransAlta Corporation,Utilities
RNW.TO,TransAlta Renewables Inc.,Utilities
TRP.TO,TransCanada Corporation,Energy
TCL-A.TO,Transcontinental Inc.,Industrials
TFI.TO,TransForce Inc.,Industrials
TCN.TO,Tricon Capital Group Inc.,Financials
TRQ.TO,Turquoise Hill Resources Ltd.,Materials
UNS.TO,Uni-Select Inc.,Consumer Discretionary
VRX.TO,Valeant Pharmaceuticals International Inc.,Health Care
VSN.TO,Veresen Inc.,Energy
VET.TO,Vermilion Energy Inc.,Energy
WFT.TO,West Fraser Timber Co. Ltd.,Materials
WEF.TO,Western Forest Products Inc.,Materials
WJA.TO,WestJet Airlines Ltd.,Industrials
WTE.TO,Westshore Terminals Investment Corporation,Industrials
WCP.TO,Whitecap Resources Inc.,Energy
WSP.TO,WSP Global Inc.,Industrials
YRI.TO,Yamana Gold Inc.,Materials
